//编号（道具id）	道具名	精炼特效表现类型1   （攻击系）	精炼特效表现类型2   (Defensive Series)	精炼特效表现类型3   (Poison Series)	精炼特效表现类型4   (增益状态系）	精炼特效表现类型5   （攻击系＋防御系）	精炼特效表现类型6      （攻击系＋毒副状态系）	精炼特效表现类型7   （攻击系＋增益状态系）	精炼特效表现类型8   （防御+毒）	精炼特效表现类型9   （防御+增益）	精炼特效表现类型10   （毒+增益）	精炼特效表现类型11   （攻击+防御+毒）	精炼特效表现类型12   （攻击+防御+增益）	精炼特效表现类型13   （攻击+毒+增益）	精炼特效表现类型14   （防御+毒+增益）	Lance's forging base effect value	卡西斯精练效果基准值	菲利尔精练效果基准值	艾米精练效果基准值
5609	Sword of August Flame	213	213	0	213	213	0	213	0	213	0	0	213	0	0	0.975	1	1.1	0
5610	Sword of August Thunder	214	214	0	214	214	0	214	0	214	0	0	214	0	0	0.975	1	1.1	0
5611	Sword of Rape Flame	215	215	0	215	215	0	215	0	215	0	0	215	0	0	1	1	1	0
5742	Blade of Enigma	250	250	0	250	250	0	250	0	250	0	0	250	0	0	0.87	0.87	0.87	0
5990	Aurora Blade	46	46	46	46	46	46	46	46	46	46	46	46	46	46	0.4	0	0	0
5991	Divinity Blade	2	8	0	11	22	0	21	0	20	0	0	23	0	0	0.4	0	0	0
6064	Salted Fish Broadsword	243	243	0	243	243	0	243	0	243	0	0	243	0	0	1	1.3	1	0
6065	Swordfish Blade		205	205	0	205	205	0	205	0	205	0	0	205	0	0	1.4	1	1	0
6066	Squidy Staff		8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	0.6	0.6
6067	Leviathan Bow		200	200	0	200	200	0	200	0	200	0	0	200	0	0	1.5	1	1.5	0.7
6068	Crab Claw Bazooka	240	240	0	240	240	0	240	0	240	0	0	240	0	0	1.5	0	1.5	0
6069	Starfish Dagger		3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
6076	Pirate's Hook		3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
6077	Light Saber		207	207	0	207	207	0	207	0	207	0	0	207	0	0	1.2	1	1	1
6078	Paper Strips		3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
6079	Dagger			8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1
6080	Sword			3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
6081	Broken Bottle		3	9	0	12	26	0	25	0	24	0	0	27	0	0	0.7	1.1	1	0.7
6082	Bamboo			209	209	0	209	209	0	209	0	209	0	0	209	0	0	0.94	1	0.94	1
6083	Baseball Bat		212	212	0	212	212	0	212	0	212	0	0	212	0	0	0.54	1	0.54	1
6084	Chainsaw		244	244	0	244	244	0	244	0	244	0	0	244	0	0	1	1	1	1
6085	Pole			245	245	0	245	245	0	245	0	245	0	0	245	0	0	1	0.7	1	1
6086	Light Pole		206	206	0	206	206	0	206	0	206	0	0	206	0	0	0.65	0.7	0.8	1
6087	Zampaktou		243	243	0	243	243	0	243	0	243	0	0	243	0	0	1	1	1	0
6088	Rum Barrel		242	242	0	242	242	0	242	0	242	0	0	242	0	0	1	1.5	1	1
6089	Banana		240	240	0	240	240	0	240	0	240	0	0	240	0	0	1.5	0	1.5	0
6090	Super Soaker	44	44	44	44	44	44	44	44	44	44	44	44	44	44	1.5	0	1.5	0
6091	Water Pistol	14	14	14	14	14	14	14	14	14	14	14	14	14	14	1.5	0	1.5	0
6092	Bazooka		44	44	44	44	44	44	44	44	44	44	44	44	44	44	1.5	0	1.5	0
6093	Salted Sword Fish	5	14	0	15	34	0	33	0	32	0	0	35	0	0	0.6	1	1	0.7
6094	Lightning Gun	14	14	14	14	14	14	14	14	14	14	14	14	14	14	1.5	0	1.5	0
6095	Shotgun		240	240	0	240	240	0	240	0	240	0	0	240	0	0	1.5	0	1.5	0
6096	Laser Gun	8	8	8	8	8	8	8	8	8	8	8	8	8	8	1	1	1	1
6097	Fishing Pole 	8	8	8	8	8	8	8	8	8	8	8	8	8	8	0.6	1	1.3	1.3
6098	Big Lollipop	7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
6099	Flag		7	6	0	1	18	0	17	0	16	0	0	19	0	0	0.6	1	1	0.7
6100	Shepherd's Stick	224	224	0	224	224	0	224	0	224	0	0	224	0	0	1	1	1.5	1.5
6101	Fan	224	224	0	224	224	0	224	0	224	0	0	224	0	0	1	1	2	2
